num_statuses,mechanism,algorithm,gas_cost
1,bbsl#7,zkCrossDID#MultipleUpdates,86415
2,bbsl#7,zkCrossDID#MultipleUpdates,172830
3,bbsl#7,zkCrossDID#MultipleUpdates,259245
4,bbsl#7,zkCrossDID#MultipleUpdates,345660
5,bbsl#7,zkCrossDID#MultipleUpdates,432075
6,bbsl#7,zkCrossDID#MultipleUpdates,518490
7,bbsl#7,zkCrossDID#MultipleUpdates,604905
8,bbsl#7,zkCrossDID#MultipleUpdates,691320
9,bbsl#7,zkCrossDID#MultipleUpdates,777735
10,bbsl#7,zkCrossDID#MultipleUpdates,864150
1,bbsl#7,zkCrossDID#ZKUpdate,383617
2,bbsl#7,zkCrossDID#ZKUpdate,383629
3,bbsl#7,zkCrossDID#ZKUpdate,383641
4,bbsl#7,zkCrossDID#ZKUpdate,383653
5,bbsl#7,zkCrossDID#ZKUpdate,383653
6,bbsl#7,zkCrossDID#ZKUpdate,383665
7,bbsl#7,zkCrossDID#ZKUpdate,383657
8,bbsl#7,zkCrossDID#ZKUpdate,383659
9,bbsl#7,zkCrossDID#ZKUpdate,383661
10,bbsl#7,zkCrossDID#ZKUpdate,383641
1,mt#11,zkCrossDID#MultipleUpdates,294108
2,mt#11,zkCrossDID#MultipleUpdates,588216
3,mt#11,zkCrossDID#MultipleUpdates,882324
4,mt#11,zkCrossDID#MultipleUpdates,1176432
5,mt#11,zkCrossDID#MultipleUpdates,1470540
1,mt#11,zkCrossDID#ZKUpdate,296409
2,mt#11,zkCrossDID#ZKUpdate,355719
3,mt#11,zkCrossDID#ZKUpdate,415078
4,mt#11,zkCrossDID#ZKUpdate,474378
5,mt#11,zkCrossDID#ZKUpdate,534055
